story_id,title,description,genre,author,avg_reading_minutes,quality,publish_days_ago
S00000,The Lost Kingdom II,"In a world where an orphaned thief with strange powers is drawn into a cursed bloodline, they must confront what it truly costs. The truth is closer than anyone dares to admit.",Fantasy,Vani Alvarez,7.9,0.3656076887647827,530
S00001,The Bookshop Romance: Origins,"When a shy librarian is drawn into a secret admirer's confession, they must confront what it truly costs. The truth is closer than anyone dares to admit.",Romance,Arjun Petrov,42.0,0.6118855255610188,267
S00002,The Cartographer's Code II,"In a world where an amateur sleuth is drawn into an inheritance with deadly strings, they must confront what it truly costs. But every secret has its price.",Mystery,Vani Tanaka,6.6,0.7581210542353091,199
S00003,The Synthetic Heart: The Reckoning,"In a world where a quantum engineer is drawn into first contact gone wrong, they must confront what it truly costs. Nothing will ever be the same again.",Science Fiction,Sofia Nair,35.9,0.5366159609121186,643
S00004,Don't Open the Cellar,"Haunted by a grieving father is drawn into a town that vanishes at night, they must confront what it truly costs. Nothing will ever be the same again.",Horror,Zoya Alvarez,34.5,0.5268452970507692,296
S00005,A Court of Ashes,"In a world where a rebel poet is drawn into a court intrigue over succession, they must confront what it truly costs. Some doors, once opened, never close.",Historical Fiction,Rohan Joshi,23.5,0.45159338117557685,94
S00006,Deadline II,"When a getaway driver is drawn into a journalist with one night to publish, they must confront what it truly costs. Some doors, once opened, never close.",Thriller,Naina Fernandes,16.8,0.480208252688035,313
S00007,The Desert Crossing: Legacy,"After a treasure-hunting historian is drawn into a desert crossing against time, they must confront what it truly costs. But every secret has its price.",Adventure,Aditya Okafor,12.2,0.6121642325080004,101
S00008,Unspoken: The Reckoning,"In a world where a single mother is drawn into a homecoming that reopens old wounds, they must confront what it truly costs. Some doors, once opened, never close.",Drama,Kabir Chatterjee,22.8,0.4850019873161984,27
S00009,Daughter of the Ocean II,"Driven by a cursed warrior is drawn into a mortal chosen for a divine task, they must confront what it truly costs. What follows changes everything.",Mythology,Arjun Gupta,35.4,0.629295551718901,407
S00010,The Moonlit Crown: Origins,"Driven by a reluctant young mage is drawn into a war between old gods, they must confront what it truly costs. But every secret has its price.",Fantasy,Naina Sharma,21.9,0.7544356586262877,199
S00011,The Arranged Truth,"After a struggling musician is drawn into a friendship turning into love, they must confront what it truly costs. Some doors, once opened, never close.",Romance,Vani Gupta,16.0,0.7242873637321983,203
S00012,Murder at the Haveli Reborn,"Against an amateur sleuth is drawn into a coded diary left behind, they must confront what it truly costs. What follows changes everything.",Mystery,Priya Nair,37.4,0.4808533306080028,241
S00013,The Mars Protocol Reborn,"Driven by a disgraced astrophysicist is drawn into first contact gone wrong, they must confront what it truly costs. Some doors, once opened, never close.",Science Fiction,Arjun Fernandes,24.5,0.6865343986030635,116
S00014,The Hollow Children II,"When a grieving father is drawn into a curse passed through photographs, they must confront what it truly costs. And time is running out.",Horror,Meera Reddy,29.8,0.2962798018875546,691
S00015,The Salt March Diaries,"Against a court astronomer is drawn into a merchant caravan crossing empires, they must confront what it truly costs. And time is running out.",Historical Fiction,Lin Joshi,14.9,0.8338610936014917,504
S00016,The Informant: The Reckoning,"Driven by a cyber-crime analyst is drawn into a journalist with one night to publish, they must confront what it truly costs. And time is running out.",Thriller,Zoya Kapoor,8.0,0.5389740463378987,92
S00017,The Treasure of Hampi: The Reckoning,"After a treasure-hunting historian is drawn into a jungle hiding a lost city, they must confront what it truly costs. Some doors, once opened, never close.",Adventure,Vikram Petrov,39.1,0.6129833113884965,128
S00018,The Apology II,"After a single mother is drawn into a homecoming that reopens old wounds, they must confront what it truly costs. What follows changes everything.",Drama,Ishita Tanaka,30.6,0.4157704513280643,545
S00019,The Churning,"In a world where a cursed warrior is drawn into a celestial weapon hidden on earth, they must confront what it truly costs. But every secret has its price.",Mythology,Ananya Alvarez,8.2,0.3860226502218868,104
S00020,The Ember Witch: Legacy,"Against an exiled princess is drawn into a forbidden spell, they must confront what it truly costs. What follows changes everything.",Fantasy,Priya Reddy,28.2,0.5599999145222208,109
S00021,Tides of Longing II,"Driven by a widowed architect is drawn into an arranged match that becomes real, they must confront what it truly costs. Nothing will ever be the same again.",Romance,Vani Kapoor,24.1,0.6745936979896793,350
S00022,Murder at the Haveli II,"Driven by an amateur sleuth is drawn into a coded diary left behind, they must confront what it truly costs. But every secret has its price.",Mystery,Sofia Reddy,25.3,0.4898225761692345,205
S00023,The Mars Protocol,"Against the last human translator is drawn into an AI questioning its purpose, they must confront what it truly costs. What follows changes everything.",Science Fiction,Ishita Reddy,8.5,0.5124645763668004,399
S00024,Whispers in the Walls: The Reckoning,"Driven by a skeptical paranormal blogger is drawn into a ritual that must not be finished, they must confront what it truly costs. Some doors, once opened, never close.",Horror,Lin Chatterjee,8.4,0.5101267922629527,702
S00025,The Silk Route,"Haunted by a court astronomer is drawn into a forbidden craft in a royal court, they must confront what it truly costs. What follows changes everything.",Historical Fiction,Dev Reddy,37.1,0.43747310794433525,597
S00026,The Informant,"Haunted by a bomb-disposal expert is drawn into a double agent's final job, they must confront what it truly costs. What follows changes everything.",Thriller,Lin Kapoor,42.4,0.6802929962667744,384
S00027,The River of Gold: Legacy,"Against a river guide is drawn into an expedition that never returned, they must confront what it truly costs. Nothing will ever be the same again.",Adventure,Marcus Iyer,40.5,0.5786451013002211,539
S00028,What We Leave Behind,"When a first-generation doctor is drawn into an apology thirty years late, they must confront what it truly costs. Some doors, once opened, never close.",Drama,Ananya Alvarez,19.3,0.6771761589230904,530
S00029,Karna's Vow,"Against a river goddess in mortal form is drawn into a curse traded between generations, they must confront what it truly costs. The truth is closer than anyone dares to admit.",Mythology,Meera Sharma,38.1,0.5676865416091319,89
S00030,The Ember Witch: Origins,"Driven by an exiled princess is drawn into a forbidden spell, they must confront what it truly costs. The truth is closer than anyone dares to admit.",Fantasy,Aarav Mehta,16.7,0.715798823044028,231
S00031,Tides of Longing II,"When a widowed architect is drawn into an arranged match that becomes real, they must confront what it truly costs. The truth is closer than anyone dares to admit.",Romance,Aarav Mehta,9.4,0.7159089827898344,166
S00032,Echoes in the Archive: Origins,"Against a sharp-eyed journalist is drawn into a decades-old cold case, they must confront what it truly costs. Some doors, once opened, never close.",Mystery,Rahul Tanaka,12.2,0.5398577806738538,19
S00033,Orbital Decay Reborn,"When a quantum engineer is drawn into first contact gone wrong, they must confront what it truly costs. And time is running out.",Science Fiction,Ishita Tanaka,20.3,0.541018843014847,667
S00034,Whispers in the Walls: The Reckoning,"After a grieving father is drawn into a town that vanishes at night, they must confront what it truly costs. The truth is closer than anyone dares to admit.",Horror,Sara Kapoor,41.9,0.5597054129615101,430
S00035,Letters from 1947 Reborn,"When a young cartographer is drawn into a family divided by partition, they must confront what it truly costs. Some doors, once opened, never close.",Historical Fiction,Ishita Fernandes,43.6,0.9378320300307006,302
S00036,Zero Hour Mumbai Reborn,"In a world where a bomb-disposal expert is drawn into a double agent's final job, they must confront what it truly costs. And time is running out.",Thriller,Naina Chatterjee,4.7,0.817053651759882,208
S00037,The Desert Crossing II,"After a teenage stowaway is drawn into an expedition that never returned, they must confront what it truly costs. And time is running out.",Adventure,Sara Chatterjee,39.6,0.98,436
S00038,The Family Table,"Against an estranged son is drawn into a mother's choice that echoes for decades, they must confront what it truly costs. And time is running out.",Drama,Ishita Alvarez,39.6,0.3359318558296217,382
S00039,The Fifth Veda: Legacy,"Driven by a river goddess in mortal form is drawn into a mortal chosen for a divine task, they must confront what it truly costs. The truth is closer than anyone dares to admit.",Mythology,Elena Singh,6.7,0.5337151877781545,76
S00040,The Crystal Throne Reborn,"After a reluctant young mage is drawn into an ancient prophecy, they must confront what it truly costs. But every secret has its price.",Fantasy,Lin Khan,41.8,0.6782578934039913,113
S00041,Monsoon Hearts II,"When a small-town teacher is drawn into a long-distance promise, they must confront what it truly costs. What follows changes everything.",Romance,Aarav Fernandes,11.2,0.5000411006125771,40
S00042,The Cartographer's Code: The Reckoning,"Driven by an amateur sleuth is drawn into a coded diary left behind, they must confront what it truly costs. And time is running out.",Mystery,Elena Reddy,24.7,0.6000151907564545,570
S00043,The Terraform Wars II,"After a disgraced astrophysicist is drawn into time dilation tearing a family apart, they must confront what it truly costs. The truth is closer than anyone dares to admit.",Science Fiction,Meera Das,27.4,0.6694523794601701,180
S00044,The Night Shift,"Against a night-shift nurse is drawn into a house that remembers its dead, they must confront what it truly costs. What follows changes everything.",Horror,Marcus Khan,38.2,0.6472948605264849,291
S00045,Shadows of Partition Reborn,"Against a court astronomer is drawn into a love story against the freedom struggle, they must confront what it truly costs. Some doors, once opened, never close.",Historical Fiction,Lin Das,36.9,0.6474690967841735,705
S00046,The Hostage Negotiator Reborn,"Driven by a bomb-disposal expert is drawn into a city-wide blackout hiding a heist, they must confront what it truly costs. Nothing will ever be the same again.",Thriller,Elena Petrov,25.1,0.8648685551387683,600
S00047,The Treasure of Hampi: The Reckoning,"Haunted by a treasure-hunting historian is drawn into a jungle hiding a lost city, they must confront what it truly costs. But every secret has its price.",Adventure,Kabir Iyer,23.6,0.6590391870685397,101
S00048,The Long Way Home,"Haunted by a retired schoolmistress is drawn into two brothers and one farm, they must confront what it truly costs. And time is running out.",Drama,Zoya Reddy,19.6,0.4104782680732892,170
S00049,The Fifth Veda: The Reckoning,"Against a storyteller who remembers past lives is drawn into a celestial weapon hidden on earth, they must confront what it truly costs. The truth is closer than anyone dares to admit.",Mythology,Arjun Chatterjee,26.0,0.9139082147102026,237
S00050,The Last Enchanter Reborn,"Haunted by an exiled princess is drawn into a war between old gods, they must confront what it truly costs. What follows changes everything.",Fantasy,Rahul Okafor,15.8,0.7781251082270735,26
S00051,Monsoon Hearts: Origins,"Against a shy librarian is drawn into a long-distance promise, they must confront what it truly costs. The truth is closer than anyone dares to admit.",Romance,Ishita Singh,7.9,0.9277163083764243,442
S00052,A Study in Shadows: Legacy,"Driven by an amateur sleuth is drawn into a decades-old cold case, they must confront what it truly costs. Nothing will ever be the same again.",Mystery,Sofia Singh,36.8,0.8720211179898099,321
S00053,Orbital Decay: Legacy,"Against a quantum engineer is drawn into terraforming that awakens something, they must confront what it truly costs. Nothing will ever be the same again.",Science Fiction,Kabir Fernandes,7.9,0.6561617048792239,425
S00054,Whispers in the Walls: Origins,"In a world where a night-shift nurse is drawn into an entity that mimics loved ones, they must confront what it truly costs. And time is running out.",Horror,Aditya Petrov,35.3,0.6745002513670847,373
S00055,The Mughal Cartographer,"Against a merchant's daughter is drawn into a forbidden craft in a royal court, they must confront what it truly costs. The truth is closer than anyone dares to admit.",Historical Fiction,Ishita Chatterjee,7.6,0.6663041902861185,85
